customer_id,customer_name,signup_date
C01,Alder Manufacturing,2023-11-01
C02,Brightview Logistics,2023-12-10
C03,Cascade Retail Group,2023-10-05
C04,Driftwood Supply Co,2024-01-15
C05,Elmhurst Foods,2023-09-20
C06,Fenwick Hardware,2024-02-01
C07,Granite Peak Industrial,2023-08-01
C08,Harborline Freight,2023-11-20
C09,Ironwood Fabrication,2023-07-15
C10,Juniper Textiles,2024-01-01
C11,Kestrel Components,2023-10-25
C12,Lakeside Provisions,2024-04-15
C13,Meridian Tools,2023-06-01
C14,Northfield Chemicals,2023-09-01
C15,Oakridge Electronics,2023-12-01
