claim_id,contract_id,item_category,contractor_id,claim_amount,claim_date
CL-01,C-1001,HVAC,K-200,850.00,2025-04-12
CL-02,C-1002,Electrical,K-201,300.00,2025-06-20
CL-03,C-1003,Water Heater,K-202,1200.00,2025-03-15
CL-04,C-1004,Plumbing,K-203,450.00,2025-08-10
CL-05,C-1001,Appliance,K-204,220.00,2025-05-01
CL-06,C-1002,HVAC,K-201,900.00,2025-07-02
CL-07,C-1004,Plumbing,,500.00,2025-08-25
CL-08,C-1002,Plumbing,K-203,150.00,2025-07-10
CL-09,C-1004,HVAC,K-200,600.00,2025-05-31
CL-10,C-1004,HVAC,K-200,600.00,2025-06-01
